

inst#,actual,predicted,error,prediction
799,2:normal,2:normal,,0.67
800,2:normal,2:normal,,0.671
801,2:normal,2:normal,,0.671
802,2:normal,2:normal,,0.671
803,2:normal,2:normal,,0.67
804,2:normal,2:normal,,0.671
805,2:normal,2:normal,,0.671
806,2:normal,2:normal,,0.671
807,2:normal,2:normal,,0.671
808,2:normal,2:normal,,0.789
809,2:normal,2:normal,,0.671
810,2:normal,2:normal,,0.671
811,2:normal,2:normal,,0.671
812,2:normal,2:normal,,0.671
813,2:normal,2:normal,,0.671
814,2:normal,2:normal,,0.612
815,2:normal,2:normal,,0.612
816,2:normal,2:normal,,0.612
817,2:normal,2:normal,,0.792
818,2:normal,2:normal,,0.593
819,2:normal,2:normal,,0.593
820,2:normal,2:normal,,0.593
821,2:normal,2:normal,,0.593
822,2:normal,2:normal,,0.792
823,2:normal,2:normal,,0.593
824,2:normal,2:normal,,0.593
825,2:normal,2:normal,,0.792
826,2:normal,2:normal,,0.593
827,2:normal,2:normal,,0.792
828,2:normal,2:normal,,0.593
829,2:normal,2:normal,,0.593
830,1:anormal,2:normal,+,0.593
831,2:normal,1:anormal,+,0.783
832,2:normal,1:anormal,+,0.565
833,2:normal,1:anormal,+,0.565
834,2:normal,1:anormal,+,0.565
835,2:normal,2:normal,,0.594
836,2:normal,1:anormal,+,0.565
837,2:normal,2:normal,,0.612
838,1:anormal,2:normal,+,0.612
839,2:normal,2:normal,,0.612
840,2:normal,2:normal,,0.514
841,2:normal,2:normal,,0.514
842,2:normal,2:normal,,0.612
843,2:normal,2:normal,,0.514
844,2:normal,2:normal,,0.612
845,2:normal,2:normal,,0.514
846,2:normal,2:normal,,0.514
847,2:normal,2:normal,,0.612
848,2:normal,2:normal,,0.514
849,2:normal,2:normal,,0.514
850,2:normal,2:normal,,0.612
851,2:normal,2:normal,,0.514
852,2:normal,2:normal,,0.514
853,2:normal,2:normal,,0.612
854,2:normal,2:normal,,0.514
855,2:normal,2:normal,,0.612
856,2:normal,2:normal,,0.514
857,2:normal,2:normal,,0.612
858,2:normal,1:anormal,+,0.565
859,2:normal,1:anormal,+,0.565
860,2:normal,2:normal,,0.612
861,2:normal,1:anormal,+,0.703
862,1:anormal,1:anormal,,0.703
863,2:normal,1:anormal,+,0.805
864,2:normal,1:anormal,+,0.805
865,1:anormal,1:anormal,,0.805
866,2:normal,1:anormal,+,0.805
867,2:normal,1:anormal,+,0.565
868,2:normal,2:normal,,0.612
869,2:normal,2:normal,,0.612
870,2:normal,2:normal,,0.612
871,2:normal,1:anormal,+,0.565
872,1:anormal,1:anormal,,0.565
873,1:anormal,1:anormal,,0.565
874,2:normal,2:normal,,0.612
875,2:normal,2:normal,,0.612
876,2:normal,2:normal,,0.612
877,2:normal,1:anormal,+,0.565
878,1:anormal,1:anormal,,0.565
879,1:anormal,1:anormal,,0.565
880,2:normal,2:normal,,0.612
881,1:anormal,2:normal,+,0.612
882,1:anormal,2:normal,+,0.593
883,2:normal,2:normal,,0.593
884,2:normal,2:normal,,0.593
885,2:normal,2:normal,,0.593
886,2:normal,2:normal,,0.593
887,2:normal,2:normal,,0.652
888,2:normal,1:anormal,+,0.565
889,2:normal,2:normal,,0.522
890,2:normal,2:normal,,0.522
891,2:normal,1:anormal,+,0.565
892,2:normal,2:normal,,0.522
893,2:normal,2:normal,,0.655
894,2:normal,2:normal,,0.534
895,2:normal,2:normal,,0.655
896,2:normal,2:normal,,0.534
897,2:normal,2:normal,,0.655
898,2:normal,2:normal,,0.534
899,2:normal,2:normal,,0.534
900,1:anormal,2:normal,+,0.534
901,2:normal,1:anormal,+,0.805
902,2:normal,2:normal,,0.655
903,2:normal,1:anormal,+,0.783
904,1:anormal,1:anormal,,0.783
905,2:normal,1:anormal,+,0.562
906,2:normal,2:normal,,0.514
907,2:normal,2:normal,,0.593
908,2:normal,2:normal,,0.514
909,2:normal,2:normal,,0.514
910,2:normal,2:normal,,0.514
911,2:normal,2:normal,,0.612
912,2:normal,2:normal,,0.514
913,2:normal,2:normal,,0.514
914,2:normal,2:normal,,0.514
915,2:normal,2:normal,,0.612
916,2:normal,2:normal,,0.514
917,2:normal,2:normal,,0.514
918,2:normal,2:normal,,0.594
919,2:normal,2:normal,,0.594
920,2:normal,2:normal,,0.671
921,2:normal,2:normal,,0.594
922,2:normal,2:normal,,0.594
923,2:normal,2:normal,,0.594
924,2:normal,2:normal,,0.671
925,2:normal,2:normal,,0.67
926,2:normal,2:normal,,0.67
927,2:normal,2:normal,,0.602
928,2:normal,2:normal,,0.789
929,2:normal,1:anormal,+,0.595
930,2:normal,2:normal,,0.579
931,2:normal,2:normal,,0.581
932,2:normal,1:anormal,+,0.731
933,2:normal,2:normal,,0.581
934,2:normal,2:normal,,0.579
935,2:normal,2:normal,,0.581
936,2:normal,2:normal,,0.579
937,2:normal,2:normal,,0.581
938,2:normal,2:normal,,0.713
939,2:normal,2:normal,,0.581
940,2:normal,2:normal,,0.742
941,2:normal,1:anormal,+,0.908
942,1:anormal,1:anormal,,0.908
943,2:normal,2:normal,,0.713
944,1:anormal,2:normal,+,0.713
945,2:normal,2:normal,,0.713
946,2:normal,2:normal,,0.713
947,2:normal,2:normal,,0.579
948,2:normal,2:normal,,0.581
949,2:normal,2:normal,,0.581
950,2:normal,2:normal,,0.742
951,2:normal,2:normal,,0.742
952,1:anormal,2:normal,+,0.713
953,2:normal,2:normal,,0.581
954,2:normal,2:normal,,0.742
955,2:normal,2:normal,,0.742
956,2:normal,2:normal,,0.713
957,2:normal,1:anormal,+,0.731
958,2:normal,2:normal,,0.581
959,2:normal,2:normal,,0.581
960,2:normal,1:anormal,+,0.944
961,2:normal,1:anormal,+,0.944
962,2:normal,2:normal,,0.581
963,2:normal,2:normal,,0.581
964,2:normal,2:normal,,0.524
965,2:normal,2:normal,,0.524
966,2:normal,2:normal,,0.524
967,2:normal,2:normal,,0.92
968,2:normal,2:normal,,0.742
969,2:normal,2:normal,,0.581
970,1:anormal,2:normal,+,0.581
971,2:normal,2:normal,,0.581
972,2:normal,1:anormal,+,0.576
973,2:normal,2:normal,,0.581
974,2:normal,1:anormal,+,0.576
975,2:normal,2:normal,,0.524
976,2:normal,1:anormal,+,0.576
977,2:normal,2:normal,,0.524
978,2:normal,2:normal,,0.524
979,2:normal,1:anormal,+,0.576
980,2:normal,2:normal,,0.92
981,2:normal,2:normal,,0.92
982,2:normal,1:anormal,+,0.576
983,2:normal,1:anormal,+,1
984,2:normal,2:normal,,0.92
985,2:normal,1:anormal,+,0.576
986,2:normal,2:normal,,0.92
987,2:normal,1:anormal,+,0.576
988,2:normal,1:anormal,+,1
989,2:normal,2:normal,,0.92
990,2:normal,1:anormal,+,0.576
991,2:normal,2:normal,,0.92
992,2:normal,1:anormal,+,0.576
993,2:normal,2:normal,,0.92
994,2:normal,2:normal,,0.92
995,2:normal,2:normal,,0.607
996,2:normal,2:normal,,0.514
997,2:normal,1:anormal,+,0.731
998,2:normal,2:normal,,0.514
999,2:normal,2:normal,,0.579
1000,2:normal,2:normal,,0.602
1001,2:normal,2:normal,,0.514
1002,2:normal,2:normal,,0.67
1003,1:anormal,2:normal,+,0.67
1004,2:normal,1:anormal,+,0.805
1005,2:normal,2:normal,,0.671
1006,2:normal,1:anormal,+,0.805
1007,1:anormal,1:anormal,,0.805
1008,1:anormal,1:anormal,,0.805
1009,2:normal,2:normal,,0.671
1010,2:normal,2:normal,,0.671
1011,2:normal,2:normal,,0.612
1012,2:normal,2:normal,,0.514
1013,2:normal,2:normal,,0.612
1014,2:normal,2:normal,,0.612
1015,2:normal,2:normal,,0.612
1016,2:normal,2:normal,,0.612
1017,2:normal,2:normal,,0.612
1018,2:normal,2:normal,,0.612
1019,2:normal,2:normal,,0.593
1020,2:normal,2:normal,,0.593
1021,2:normal,1:anormal,+,0.562
1022,2:normal,2:normal,,0.593
1023,2:normal,2:normal,,0.593
1024,2:normal,2:normal,,0.522
1025,2:normal,2:normal,,0.522
1026,2:normal,2:normal,,0.654
1027,2:normal,2:normal,,0.522
1028,2:normal,2:normal,,0.522
1029,1:anormal,1:anormal,,0.824
1030,1:anormal,1:anormal,,0.824
1031,2:normal,1:anormal,+,0.805
1032,2:normal,2:normal,,0.534
1033,2:normal,1:anormal,+,0.805
1034,1:anormal,1:anormal,,0.805
1035,1:anormal,1:anormal,,0.805
1036,2:normal,2:normal,,0.879
1037,2:normal,2:normal,,0.534
1038,2:normal,2:normal,,0.879
1039,2:normal,2:normal,,0.534
1040,2:normal,2:normal,,0.879
1041,2:normal,2:normal,,0.534
1042,2:normal,2:normal,,0.534
1043,2:normal,2:normal,,0.879
1044,2:normal,2:normal,,0.534
1045,2:normal,2:normal,,0.744
1046,2:normal,1:anormal,+,0.824
1047,2:normal,2:normal,,0.744
1048,2:normal,2:normal,,0.723
1049,2:normal,2:normal,,0.522
1050,2:normal,2:normal,,0.723
1051,2:normal,2:normal,,0.593
1052,2:normal,2:normal,,0.522
1053,2:normal,2:normal,,0.723
1054,2:normal,2:normal,,0.593
1055,2:normal,2:normal,,0.792
1056,2:normal,2:normal,,0.593
1057,2:normal,2:normal,,0.792
1058,2:normal,2:normal,,0.612
1059,2:normal,2:normal,,0.929
1060,2:normal,2:normal,,0.612
1061,2:normal,2:normal,,0.612
1062,2:normal,2:normal,,0.67
1063,2:normal,2:normal,,0.612
1064,2:normal,2:normal,,0.612
1065,2:normal,2:normal,,0.612
1066,2:normal,2:normal,,0.67
1067,1:anormal,2:normal,+,0.67
1068,2:normal,1:anormal,+,0.783
1069,2:normal,2:normal,,0.671
1070,2:normal,2:normal,,0.671
1071,2:normal,2:normal,,0.514
1072,2:normal,2:normal,,0.514
1073,2:normal,2:normal,,0.671
1074,2:normal,2:normal,,0.671
1075,2:normal,2:normal,,0.671
1076,2:normal,2:normal,,0.612
1077,2:normal,2:normal,,0.514
1078,1:anormal,2:normal,+,0.514
1079,2:normal,2:normal,,0.612
1080,2:normal,2:normal,,0.612
1081,2:normal,1:anormal,+,0.703
1082,2:normal,2:normal,,0.671
1083,2:normal,2:normal,,0.671
1084,2:normal,2:normal,,0.612
1085,2:normal,2:normal,,0.612
1086,2:normal,2:normal,,0.789
1087,2:normal,2:normal,,0.612
1088,2:normal,2:normal,,0.612
1089,2:normal,2:normal,,0.67
1090,2:normal,2:normal,,0.612
1091,2:normal,2:normal,,0.67
1092,2:normal,2:normal,,0.671
1093,2:normal,2:normal,,0.612
1094,2:normal,2:normal,,0.594
1095,2:normal,2:normal,,0.671
1096,2:normal,2:normal,,0.594
1097,2:normal,2:normal,,0.612
1098,2:normal,2:normal,,0.594
1099,2:normal,2:normal,,0.594
1100,2:normal,2:normal,,0.612
1101,2:normal,2:normal,,0.594
1102,2:normal,2:normal,,0.612
1103,2:normal,2:normal,,0.514
1104,2:normal,2:normal,,0.514
1105,2:normal,2:normal,,0.612
1106,2:normal,2:normal,,0.514
1107,2:normal,2:normal,,0.612
1108,2:normal,2:normal,,0.514
1109,2:normal,2:normal,,0.514
1110,2:normal,2:normal,,0.612
1111,2:normal,2:normal,,0.514
1112,2:normal,2:normal,,0.514
1113,1:anormal,2:normal,+,0.514
1114,2:normal,1:anormal,+,0.783
1115,2:normal,2:normal,,0.514
1116,2:normal,1:anormal,+,0.805
1117,1:anormal,1:anormal,,0.805
1118,1:anormal,1:anormal,,0.805
1119,2:normal,2:normal,,0.671
1120,2:normal,2:normal,,0.514
1121,2:normal,2:normal,,0.671
1122,2:normal,1:anormal,+,0.565
1123,2:normal,1:anormal,+,0.565
1124,2:normal,2:normal,,0.671
1125,2:normal,2:normal,,0.671
1126,2:normal,1:anormal,+,0.565
1127,2:normal,2:normal,,0.612
1128,2:normal,1:anormal,+,0.565
1129,2:normal,2:normal,,0.612
1130,2:normal,1:anormal,+,0.565
1131,2:normal,2:normal,,0.612
1132,2:normal,2:normal,,0.612
1133,2:normal,2:normal,,0.612
1134,2:normal,1:anormal,+,0.565
1135,2:normal,2:normal,,0.612
1136,1:anormal,2:normal,+,0.612
1137,1:anormal,2:normal,+,0.612
1138,2:normal,2:normal,,0.612
1139,1:anormal,2:normal,+,0.612
1140,1:anormal,2:normal,+,0.593
1141,2:normal,1:anormal,+,0.565
1142,2:normal,2:normal,,0.593
1143,2:normal,2:normal,,0.593
1144,2:normal,2:normal,,0.522
1145,2:normal,2:normal,,0.655
1146,2:normal,2:normal,,0.534
1147,2:normal,2:normal,,0.534
1148,2:normal,2:normal,,0.534
1149,2:normal,2:normal,,0.534
1150,2:normal,2:normal,,0.534
1151,2:normal,2:normal,,0.655
1152,2:normal,2:normal,,0.534
1153,2:normal,2:normal,,0.534
1154,2:normal,2:normal,,0.655
1155,2:normal,2:normal,,0.534
1156,2:normal,2:normal,,0.655
1157,1:anormal,2:normal,+,0.655
1158,2:normal,2:normal,,0.879
1159,2:normal,1:anormal,+,0.805
1160,1:anormal,1:anormal,,0.805
1161,1:anormal,1:anormal,,0.805
1162,2:normal,2:normal,,0.534
1163,2:normal,2:normal,,0.655
1164,2:normal,2:normal,,0.522
1165,2:normal,2:normal,,0.655
1166,2:normal,2:normal,,0.654
1167,2:normal,2:normal,,0.522
1168,2:normal,2:normal,,0.654
1169,2:normal,2:normal,,0.654
1170,2:normal,2:normal,,0.522
1171,2:normal,1:anormal,+,0.562
1172,2:normal,1:anormal,+,0.562
1173,2:normal,1:anormal,+,0.562
1174,2:normal,2:normal,,0.593
1175,2:normal,2:normal,,0.514
1176,2:normal,2:normal,,0.514
1177,2:normal,2:normal,,0.514
1178,2:normal,2:normal,,0.612
1179,2:normal,2:normal,,0.514
1180,2:normal,2:normal,,0.514
1181,2:normal,2:normal,,0.594
1182,2:normal,2:normal,,0.594
1183,2:normal,2:normal,,0.612
1184,2:normal,2:normal,,0.594
1185,1:anormal,2:normal,+,0.594
1186,2:normal,1:anormal,+,0.805
1187,2:normal,2:normal,,0.514
1188,2:normal,2:normal,,0.514
1189,2:normal,2:normal,,0.67
1190,2:normal,2:normal,,0.514
1191,2:normal,2:normal,,0.514
1192,2:normal,2:normal,,0.923
1193,2:normal,2:normal,,0.514
1194,2:normal,2:normal,,0.594
1195,1:anormal,1:anormal,,0.667
1196,2:normal,2:normal,,0.581
1197,2:normal,2:normal,,0.581
1198,2:normal,2:normal,,0.579
1199,2:normal,2:normal,,0.581
1200,2:normal,2:normal,,0.713
1201,2:normal,2:normal,,0.581
1202,2:normal,2:normal,,0.742
1203,2:normal,2:normal,,0.581
1204,2:normal,1:anormal,+,0.576
1205,2:normal,1:anormal,+,0.576
1206,1:anormal,1:anormal,,0.576
1207,2:normal,1:anormal,+,0.576
1208,2:normal,2:normal,,0.742
1209,2:normal,2:normal,,0.742
1210,2:normal,2:normal,,0.713
1211,2:normal,2:normal,,0.713
1212,1:anormal,1:anormal,,0.731
1213,2:normal,2:normal,,0.579
1214,2:normal,2:normal,,0.579
1215,2:normal,1:anormal,+,0.789
1216,1:anormal,2:normal,+,0.602
1217,2:normal,2:normal,,0.602
1218,2:normal,2:normal,,0.602
1219,2:normal,2:normal,,0.671
1220,2:normal,2:normal,,0.671
1221,2:normal,2:normal,,0.671
1222,1:anormal,2:normal,+,0.671
1223,2:normal,2:normal,,0.671
1224,2:normal,2:normal,,0.612
1225,2:normal,2:normal,,0.612
1226,1:anormal,2:normal,+,0.612
1227,2:normal,1:anormal,+,0.878
1228,1:anormal,1:anormal,,0.864
1229,2:normal,1:anormal,+,0.864
1230,1:anormal,1:anormal,,0.824
1231,2:normal,1:anormal,+,0.824
1232,2:normal,2:normal,,0.534
1233,2:normal,2:normal,,0.879
1234,2:normal,2:normal,,0.879
1235,2:normal,2:normal,,0.534
1236,2:normal,2:normal,,0.879
1237,2:normal,2:normal,,0.522
1238,2:normal,2:normal,,0.923
1239,2:normal,2:normal,,0.522
1240,2:normal,2:normal,,0.723
1241,2:normal,2:normal,,0.792
1242,2:normal,2:normal,,0.612
1243,2:normal,2:normal,,0.929
1244,2:normal,2:normal,,0.594
1245,2:normal,2:normal,,0.612
1246,2:normal,2:normal,,0.594
1247,2:normal,2:normal,,0.594
1248,2:normal,2:normal,,0.612
1249,2:normal,2:normal,,0.594
1250,2:normal,2:normal,,0.671
1251,2:normal,2:normal,,0.594
1252,2:normal,2:normal,,0.514
1253,2:normal,2:normal,,0.671
1254,2:normal,2:normal,,0.514
1255,2:normal,2:normal,,0.671
1256,1:anormal,2:normal,+,0.671
1257,1:anormal,2:normal,+,0.671
1258,2:normal,1:anormal,+,0.805
1259,2:normal,1:anormal,+,0.805
1260,2:normal,1:anormal,+,0.805
1261,1:anormal,1:anormal,,0.805
1262,2:normal,2:normal,,0.581
1263,2:normal,2:normal,,0.602
1264,2:normal,2:normal,,0.671
1265,2:normal,2:normal,,0.514
1266,2:normal,2:normal,,0.671
1267,2:normal,2:normal,,0.514
1268,2:normal,2:normal,,0.671
1269,2:normal,2:normal,,0.671
1270,2:normal,2:normal,,0.514
1271,2:normal,2:normal,,0.612
1272,2:normal,2:normal,,0.612
1273,2:normal,2:normal,,0.612
1274,2:normal,2:normal,,0.612
1275,2:normal,2:normal,,0.514
1276,2:normal,2:normal,,0.612
1277,2:normal,2:normal,,0.593
1278,2:normal,2:normal,,0.593
1279,2:normal,2:normal,,0.593
1280,1:anormal,2:normal,+,0.522
1281,1:anormal,2:normal,+,0.522
1282,2:normal,2:normal,,0.522
1283,2:normal,2:normal,,0.723
1284,1:anormal,2:normal,+,0.723
1285,2:normal,1:anormal,+,0.562
1286,2:normal,2:normal,,0.593
1287,2:normal,2:normal,,0.593
1288,2:normal,2:normal,,0.593
1289,2:normal,2:normal,,0.593
1290,2:normal,1:anormal,+,0.562
1291,2:normal,2:normal,,0.593
1292,2:normal,2:normal,,0.522
1293,2:normal,2:normal,,0.522
1294,2:normal,2:normal,,0.654
1295,2:normal,2:normal,,0.522
1296,2:normal,2:normal,,0.522
1297,2:normal,2:normal,,0.654
1298,2:normal,2:normal,,0.522
1299,2:normal,2:normal,,0.654
1300,2:normal,2:normal,,0.522
1301,2:normal,2:normal,,0.654
1302,2:normal,2:normal,,0.522
1303,2:normal,2:normal,,0.723
1304,2:normal,2:normal,,0.522
1305,1:anormal,2:normal,+,0.522
1306,1:anormal,2:normal,+,0.522
1307,2:normal,1:anormal,+,0.805
1308,2:normal,1:anormal,+,0.805
1309,2:normal,1:anormal,+,0.805
1310,2:normal,1:anormal,+,0.805
1311,1:anormal,1:anormal,,0.805
1312,2:normal,1:anormal,+,0.783
1313,2:normal,2:normal,,0.612
1314,2:normal,2:normal,,0.89
1315,2:normal,2:normal,,0.593
1316,2:normal,2:normal,,0.593
1317,2:normal,2:normal,,0.89
1318,2:normal,2:normal,,0.612
1319,2:normal,2:normal,,0.89
1320,2:normal,2:normal,,0.612
1321,2:normal,2:normal,,0.594
1322,2:normal,2:normal,,0.612
1323,2:normal,2:normal,,0.594
1324,2:normal,2:normal,,0.612
1325,2:normal,2:normal,,0.612
1326,2:normal,2:normal,,0.67
1327,2:normal,2:normal,,0.612
1328,2:normal,2:normal,,0.612
1329,2:normal,2:normal,,0.612
1330,2:normal,2:normal,,0.67
1331,2:normal,2:normal,,0.612
1332,2:normal,2:normal,,0.612
1333,2:normal,2:normal,,0.612
1334,2:normal,2:normal,,0.612
1335,2:normal,2:normal,,0.789
1336,2:normal,2:normal,,0.612
1337,2:normal,2:normal,,0.612
1338,2:normal,2:normal,,0.612
1339,2:normal,2:normal,,0.612
1340,2:normal,2:normal,,0.612
1341,2:normal,2:normal,,0.612
1342,2:normal,2:normal,,0.612
1343,2:normal,2:normal,,0.593
1344,2:normal,2:normal,,0.792
1345,2:normal,2:normal,,0.593
1346,2:normal,2:normal,,0.593
1347,2:normal,2:normal,,0.593
1348,2:normal,2:normal,,0.593
1349,2:normal,2:normal,,0.792
1350,2:normal,2:normal,,0.593
1351,2:normal,2:normal,,0.593
1352,2:normal,2:normal,,0.792
1353,1:anormal,1:anormal,,0.8
1354,1:anormal,1:anormal,,0.8
1355,2:normal,2:normal,,0.514
1356,2:normal,2:normal,,0.612
1357,2:normal,2:normal,,0.514
1358,2:normal,2:normal,,0.514
1359,2:normal,1:anormal,+,0.565
1360,2:normal,1:anormal,+,0.565
1361,2:normal,1:anormal,+,0.783
1362,1:anormal,1:anormal,,0.783
1363,2:normal,2:normal,,0.594
1364,2:normal,2:normal,,0.671
1365,2:normal,2:normal,,0.594
1366,2:normal,2:normal,,0.671
1367,2:normal,2:normal,,0.514
1368,2:normal,2:normal,,0.514
1369,2:normal,2:normal,,0.671
1370,2:normal,2:normal,,0.514
1371,2:normal,2:normal,,0.671
1372,2:normal,2:normal,,0.514
1373,2:normal,2:normal,,0.514
1374,2:normal,2:normal,,0.671
1375,2:normal,2:normal,,0.514
1376,2:normal,2:normal,,0.514
1377,2:normal,2:normal,,0.671
1378,2:normal,2:normal,,0.514
1379,2:normal,2:normal,,0.514
1380,2:normal,2:normal,,0.671
1381,2:normal,2:normal,,0.514
1382,2:normal,2:normal,,0.671
1383,2:normal,2:normal,,0.514
1384,2:normal,2:normal,,0.671
1385,2:normal,2:normal,,0.514
1386,1:anormal,2:normal,+,0.514
1387,2:normal,1:anormal,+,0.805
1388,2:normal,2:normal,,0.671
1389,1:anormal,2:normal,+,0.671
1390,1:anormal,2:normal,+,0.671
1391,2:normal,2:normal,,0.671
1392,2:normal,1:anormal,+,0.565
1393,2:normal,2:normal,,0.612
1394,2:normal,1:anormal,+,0.565
1395,2:normal,2:normal,,0.612
1396,2:normal,2:normal,,0.612
1397,2:normal,2:normal,,0.612
1398,2:normal,1:anormal,+,0.565
1399,2:normal,2:normal,,0.593
1400,2:normal,2:normal,,0.593
1401,2:normal,2:normal,,0.593
1402,2:normal,2:normal,,0.593
1403,2:normal,2:normal,,0.522
1404,2:normal,2:normal,,0.655
1405,2:normal,2:normal,,0.522
1406,2:normal,2:normal,,0.522
1407,2:normal,2:normal,,0.522
1408,1:anormal,2:normal,+,0.522
1409,2:normal,1:anormal,+,0.805
1410,2:normal,2:normal,,0.534
1411,1:anormal,2:normal,+,0.534
1412,2:normal,2:normal,,0.655
1413,2:normal,2:normal,,0.534
1414,2:normal,2:normal,,0.534
1415,2:normal,2:normal,,0.655
1416,2:normal,2:normal,,0.534
1417,2:normal,2:normal,,0.534
1418,2:normal,2:normal,,0.655
1419,2:normal,2:normal,,0.534
1420,2:normal,2:normal,,0.655
1421,2:normal,2:normal,,0.534
1422,2:normal,2:normal,,0.655
1423,2:normal,2:normal,,0.534
1424,2:normal,2:normal,,0.655
1425,2:normal,2:normal,,0.534
1426,2:normal,2:normal,,0.655
1427,2:normal,2:normal,,0.534
1428,2:normal,2:normal,,0.655
1429,2:normal,2:normal,,0.654
1430,1:anormal,2:normal,+,0.654
1431,2:normal,1:anormal,+,0.857
1432,2:normal,2:normal,,0.654
1433,2:normal,1:anormal,+,0.805
1434,1:anormal,1:anormal,,0.805
1435,1:anormal,1:anormal,,0.805
1436,2:normal,2:normal,,0.654
1437,2:normal,1:anormal,+,0.562
1438,2:normal,2:normal,,0.593
1439,2:normal,2:normal,,0.792
1440,2:normal,2:normal,,0.514
1441,2:normal,2:normal,,0.514
1442,2:normal,2:normal,,0.612
1443,2:normal,2:normal,,0.514
1444,2:normal,2:normal,,0.514
1445,2:normal,2:normal,,0.594
1446,2:normal,2:normal,,0.594
1447,2:normal,2:normal,,0.612
1448,2:normal,2:normal,,0.594
1449,2:normal,2:normal,,0.594
1450,2:normal,2:normal,,0.594
1451,2:normal,2:normal,,0.671
1452,2:normal,2:normal,,0.67
1453,2:normal,2:normal,,0.67
1454,2:normal,2:normal,,0.671
1455,2:normal,2:normal,,0.789
1456,2:normal,1:anormal,+,0.595
1457,2:normal,2:normal,,0.602
1458,2:normal,2:normal,,0.581
1459,2:normal,2:normal,,0.602
1460,2:normal,2:normal,,0.581
1461,2:normal,1:anormal,+,0.789
1462,2:normal,2:normal,,0.581
1463,2:normal,2:normal,,0.579
1464,2:normal,2:normal,,0.581
1465,2:normal,2:normal,,0.713
1466,2:normal,2:normal,,0.581
1467,2:normal,2:normal,,0.742
1468,2:normal,1:anormal,+,0.908
1469,1:anormal,1:anormal,,0.908
1470,2:normal,2:normal,,0.713
1471,2:normal,2:normal,,0.713
1472,2:normal,2:normal,,0.713
1473,2:normal,2:normal,,0.713
1474,2:normal,2:normal,,0.579
1475,1:anormal,1:anormal,,0.789
1476,2:normal,2:normal,,0.602
1477,2:normal,2:normal,,0.602
1478,2:normal,2:normal,,0.602
1479,1:anormal,1:anormal,,0.969
1480,2:normal,2:normal,,0.671
1481,2:normal,2:normal,,0.671
1482,2:normal,2:normal,,0.671
1483,2:normal,2:normal,,0.671
1484,2:normal,1:anormal,+,0.857
1485,1:anormal,1:anormal,,0.857
1486,2:normal,2:normal,,0.612
1487,2:normal,2:normal,,0.612
1488,2:normal,2:normal,,0.612
1489,1:anormal,1:anormal,,0.878
1490,2:normal,1:anormal,+,0.878
1491,1:anormal,1:anormal,,0.864
1492,2:normal,2:normal,,0.723
1493,2:normal,2:normal,,0.723
1494,2:normal,2:normal,,0.792
1495,2:normal,2:normal,,0.522
1496,2:normal,2:normal,,0.723
1497,2:normal,1:anormal,+,0.783
1498,2:normal,2:normal,,0.723
1499,2:normal,2:normal,,0.792
1500,2:normal,2:normal,,0.792
1501,2:normal,2:normal,,0.514
1502,2:normal,2:normal,,0.514
1503,2:normal,1:anormal,+,0.805
1504,1:anormal,1:anormal,,0.805
1505,2:normal,2:normal,,0.67
1506,2:normal,2:normal,,0.612
1507,2:normal,2:normal,,0.67
1508,2:normal,2:normal,,0.594
1509,2:normal,2:normal,,0.671
1510,2:normal,2:normal,,0.594
1511,2:normal,2:normal,,0.594
1512,2:normal,2:normal,,0.671
1513,2:normal,2:normal,,0.594
1514,2:normal,2:normal,,0.671
1515,2:normal,1:anormal,+,0.667
1516,2:normal,2:normal,,0.514
1517,2:normal,2:normal,,0.602
1518,2:normal,2:normal,,0.514
1519,2:normal,2:normal,,0.602
1520,2:normal,2:normal,,0.514
1521,2:normal,2:normal,,0.514
1522,2:normal,2:normal,,0.579
1523,2:normal,2:normal,,0.581
1524,2:normal,2:normal,,0.514
1525,2:normal,2:normal,,0.514
1526,2:normal,2:normal,,0.579
1527,2:normal,1:anormal,+,0.667
1528,2:normal,2:normal,,0.602
1529,2:normal,2:normal,,0.671
1530,2:normal,2:normal,,0.594
1531,2:normal,2:normal,,0.671
1532,2:normal,2:normal,,0.594
1533,2:normal,2:normal,,0.671
1534,2:normal,2:normal,,0.594
1535,2:normal,2:normal,,0.671
1536,2:normal,2:normal,,0.594
1537,1:anormal,2:normal,+,0.594
1538,2:normal,2:normal,,0.581
1539,2:normal,2:normal,,0.514
1540,2:normal,2:normal,,0.514
1541,2:normal,2:normal,,0.671
1542,2:normal,2:normal,,0.671
1543,2:normal,2:normal,,0.514
1544,2:normal,2:normal,,0.514
1545,2:normal,2:normal,,0.671
1546,2:normal,2:normal,,0.671
1547,2:normal,1:anormal,+,0.783
1548,1:anormal,2:normal,+,0.581
1549,2:normal,2:normal,,0.789
1550,2:normal,2:normal,,0.579
1551,2:normal,1:anormal,+,0.789
1552,2:normal,2:normal,,0.602
1553,2:normal,2:normal,,0.602
1554,2:normal,2:normal,,0.671
1555,2:normal,2:normal,,0.671
1556,2:normal,2:normal,,0.671
1557,2:normal,2:normal,,0.671
1558,2:normal,2:normal,,0.923
1559,2:normal,2:normal,,0.671
1560,2:normal,2:normal,,0.671
1561,2:normal,2:normal,,0.671
1562,2:normal,2:normal,,0.671
1563,2:normal,2:normal,,0.789
1564,2:normal,2:normal,,0.671
1565,2:normal,2:normal,,0.671
1566,2:normal,2:normal,,0.67
1567,2:normal,2:normal,,0.671
